DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
119834.0,2622775,Pune,2622775,May Stores,Retail,18.603397,73.92783,Maharashtra,Pune,Pune City,Pune,Urban,,Kirana Str,Sadguru Enterprises,2.11,1.32,1.75,4.61,0.68,1.27,8.5,4.19,1.07,1.07,1.07,1.07,1.07,1.07,5,13,20,0.0,4.0,9.0,37706.0,34362.0,41783.0,89210.0,85363.0,143651.0,142655.0,128103.0,121871.0,34717.0,21973.0,19100.0,161911.0,233173.0,293178.0,High (>100),0.0,0.0,0.0,0.0,282296.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,0.9,Yes,95.0,<200 sqft,Micro Outlet,MAHARASHTRA,Pune,yes,,,442.689,,17073.5084,2681.8155,,,,,,,,,,,,,,,68.1825,21514.6152,,,,,,41780.8106,3481.734217,14.83,12,MAHARASHTRA,Retail,37950.333333333336,87286.5,143153.0,124987.0,25263.33333333333,1.07,1.32,1.27,1.07,5.0,71.52,B,150.0,1.0,1,0.0,0.0,4375.26,893.52,20.4,True,B+,1058.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,3,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
119834.0,2517009,Pune,2517009,Krishna Mithas,Retail,18.570647,73.957655,Maharashtra,Pune,Pune City,Pune,Urban,,Kirana Str,Sadguru Enterprises,2.9,0.97,0.37,1.57,0.61,1.1,5.79,2.86,1.0,1.0,1.0,1.0,1.0,1.0,8,17,42,1.0,1.0,9.0,37706.0,34362.0,41783.0,89210.0,85363.0,143651.0,142655.0,128103.0,121871.0,34717.0,21973.0,19100.0,161911.0,233173.0,293178.0,High (>100),0.0,0.0,0.0,0.0,282296.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,0.6,Yes,100.0,<200 sqft,Micro Outlet,MAHARASHTRA,Pune,yes,6090.903,,381.8178,,10554.5349,727.272,,636.363,,,,,,1090.908,,,6363.63,,,,,9272.718,,,,,,35118.1467,3902.0163,24.0,9,MAHARASHTRA,Retail,37950.333333333336,87286.5,143153.0,124987.0,25263.33333333333,1.0,0.37,1.1,1.0,9.0,75.36,B,150.0,1.0,1,0.0,0.0,6905.09,3003.07,43.5,True,B+,254.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,3,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
121553.0,2544126,Hyderabad,2544126,Market Vegetabels Kgs,Retail,17.461071,78.504931,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,,Kirana Str,Shri Datta Sai Traders,1.65,0.15,1.42,1.58,0.49,1.38,2.08,2.87,1.49,1.49,1.49,1.49,0.0,1.49,10,60,163,0.0,6.0,0.0,52360.0,65622.0,74784.0,201891.0,206694.0,309768.0,283238.0,266382.0,204117.0,57561.0,42090.0,54954.0,250581.0,422703.0,938722.0,High (>100),79.0,86.0,61.0,2.0,132665.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,1.0,No,110.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,181.818,,4399.9956,,412.848,,,,,,,,,,,,,,481.656,9890.8992,,,,,,15367.2168,1536.72168,10.6,10,South India,Retail,64255.333333333336,204292.5,296503.0,235249.5,51535.0,0.0,0.15,1.38,1.49,10.0,38.73,C,150.0,0.0,1,0.0,0.0,2795.96,1259.23,45.0,True,C+,1517.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
119718.0,2675358,Hyderabad,2675358,Anand Kgs 1,Retail,17.46025113,78.29144569,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,,Kirana Str,Ssb Technologies,5.65,1.7,1.6,6.18,1.68,2.31,3.77,4.91,1.57,2.12,1.57,1.57,0.0,1.57,2,8,31,0.0,2.0,0.0,52360.0,65622.0,74784.0,201891.0,206694.0,309768.0,283238.0,266382.0,204117.0,57561.0,42090.0,54954.0,250581.0,422703.0,938722.0,High (>100),32.0,19.0,8.0,9.0,132665.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,0.6,No,105.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,,,4781.8134,,1788.0705,,,,,,,,,,690.9084,104.3484,,,2006.145,4036.3596,,,,,,13407.6453,1218.876845,8.0,11,South India,Retail,64255.333333333336,204292.5,296503.0,235249.5,51535.0,0.0,1.6,2.31,1.57,2.0,29.4,D,150.0,0.0,1,0.0,0.0,2110.23,891.35,42.2,True,D+,1844.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,1,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
116072.0,1804253,Ahmadabad,1804253,Jay Ambe Parlour,Retail,23.111902,72.609195,Gujarat,Ahmedabad,Ahmedabad City,Ahmedabad,Urban,,Dairy str,Om Sales Agency,5.09,1.04,4.06,6.89,8.03,2.95,3.58,3.64,1.73,2.97,2.97,2.97,2.97,2.97,1,15,44,0.0,0.0,0.0,28332.0,51529.0,85753.0,99537.0,167319.0,245379.0,153386.0,198128.0,190447.0,73949.0,70686.0,35343.0,221124.0,389178.0,692854.0,High (>100),,,,,167437.0,No,No,No,No,No,No,No,,,,,GT,Periphery,2.3,Yes,85.0,<200 sqft,Micro Outlet,GUJARAT,Ahmadabad,yes,,,,,10619.7546,,,,,,,,,,,,,,,,,4676.6772,,,,,,15296.4318,1274.70265,6.42,12,GUJARAT,Retail,55204.66666666666,133428.0,199382.5,194287.5,59992.66666666666,2.97,1.04,2.95,1.73,1.0,31.14,C,150.0,1.0,1,0.0,0.0,1990.52,715.82,36.0,True,C+,2054.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
116072.0,1803014,Ahmadabad,1803014,New Solanki Kirana,Retail,23.109779,72.593682,Gujarat,Ahmedabad,Ahmedabad City,Ahmedabad,Urban,,Kirana Str,Om Sales Agency,5.46,0.31,3.23,5.47,6.87,1.82,2.12,3.59,0.81,1.37,1.37,1.37,1.37,1.37,11,56,95,0.0,0.0,0.0,28332.0,51529.0,85753.0,99537.0,167319.0,245379.0,153386.0,198128.0,190447.0,73949.0,70686.0,35343.0,221124.0,389178.0,692854.0,High (>100),,,,,167437.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,1.3,Yes,115.0,<200 sqft,Micro Outlet,GUJARAT,Ahmadabad,yes,1818.18,,381.8178,,16192.8728,541.502,477.2775,,,,,,,909.09,,,,109.0908,,,1377.2865,6944.6598,,,,,,28751.7772,2395.981433,9.33,12,GUJARAT,Retail,55204.66666666666,133428.0,199382.5,194287.5,59992.66666666666,1.37,0.31,1.82,0.81,11.0,56.92,C,150.0,1.0,1,0.0,0.0,2802.06,406.08,14.5,True,C+,2302.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
121553.0,S01266360,Hyderabad,S01266360,S L N Stores,Retail,17.461095,78.504479,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,,Kirana Str,Shri Datta Sai Traders,1.66,0.13,1.43,1.58,0.45,1.4,2.07,2.86,1.49,1.49,1.49,1.49,0.0,1.49,11,59,165,0.0,6.0,0.0,52360.0,65622.0,74784.0,201891.0,206694.0,309768.0,283238.0,266382.0,204117.0,57561.0,42090.0,54954.0,250581.0,422703.0,938722.0,High (>100),91.0,90.0,67.0,2.0,132665.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,1.0,No,145.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,90.909,,10309.0806,,10047.72,,,,,,,,,,,,,,6540.3885,17999.982,,,,,,44988.0801,3749.006675,17.92,12,South India,Retail,64255.333333333336,204292.5,296503.0,235249.5,51535.0,0.0,0.13,1.4,1.49,11.0,74.04,B,150.0,0.0,1,0.0,0.0,4968.39,1219.38,24.5,True,B+,921.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,3,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
116072.0,2268838,Ahmadabad,2268838,Junglee Smoke Station,Retail,23.133634,72.561616,Gujarat,Ahmedabad,Ahmedabad City,Ahmedabad,Urban,,,Om Sales Agency,5.28,0.66,5.58,1.82,5.69,2.4,2.43,4.07,2.31,2.48,2.48,2.48,2.48,2.48,1,4,41,0.0,0.0,0.0,28332.0,51529.0,85753.0,99537.0,167319.0,245379.0,153386.0,198128.0,190447.0,73949.0,70686.0,35343.0,221124.0,389178.0,692854.0,High (>100),,,,,167437.0,No,No,No,No,No,No,No,,,,,Others,Periphery,0.6,No,105.0,<200 sqft,Micro Outlet,GUJARAT,Ahmadabad,yes,2608.6932,,454.545,,8596.4359,727.272,,545.454,,,,,,,,,5835.5676,654.5448,,,,4799.9952,,,,,,24222.5077,2202.046155,12.27,11,GUJARAT,Retail,55204.66666666666,133428.0,199382.5,194287.5,59992.66666666666,2.48,0.66,2.4,1.82,1.0,53.69,C,150.0,0.0,1,0.0,0.0,3333.82,1131.78,33.9,True,C+,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
119654.0,1797179,Hyderabad,1797179,Chandu Kirana,Retail,17.320349,78.637521,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,,Kirana Str,Sree Bhavani Distributors,10.47,2.52,3.2,6.78,3.1,2.54,10.05,4.36,2.8,2.8,2.8,2.8,0.0,2.8,6,11,33,0.0,0.0,0.0,52360.0,65622.0,74784.0,201891.0,206694.0,309768.0,283238.0,266382.0,204117.0,57561.0,42090.0,54954.0,250581.0,422703.0,938722.0,High (>100),141.0,72.0,26.0,4.0,132665.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,1.9,No,110.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,181.818,,9136.3545,636.363,5336.8119,,,,,,,,,,1079.982,,,,2929.2301,11272.716,,,,,,30573.2755,2547.772958,15.25,12,South India,Retail,64255.333333333336,204292.5,296503.0,235249.5,51535.0,0.0,2.52,2.54,2.8,6.0,59.48,C,150.0,0.0,1,0.0,0.0,4201.05,1653.27,39.4,True,C+,1074.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
114599.0,2400406,Surat,2400406,Shree Shyam Kirana,Retail,21.171678,72.882247,Gujarat,Surat,Surat City,Surat,Urban,,Kirana Str,Shreeji Enterprise,2.29,0.24,2.43,7.46,4.02,55.44,3.24,4.64,0.88,0.88,0.88,0.88,0.88,0.88,24,72,155,0.0,0.0,2.0,36247.0,38408.0,44226.0,69932.0,100917.0,144524.0,150169.0,231949.0,202717.0,69878.0,58312.0,152135.0,197511.0,350842.0,592533.0,High (>100),,,,,163233.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,0.6,Yes,80.0,<200 sqft,Micro Outlet,GUJARAT,Surat,yes,327.2724,,450.593,,12614.2224,1283.0038,327.276,109.0908,,,,,,,,,490.9086,758.8932,,,4756.173,8035.5678,,,,,,29153.001,2429.41675,15.17,12,GUJARAT,Retail,39627.0,85424.5,147346.5,217333.0,93441.66666666669,0.88,0.24,3.24,0.88,24.0,57.52,C,150.0,1.0,1,0.0,0.0,4362.4,1932.98,44.3,True,C+,856.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,2,3,Metro High Footfall Office Corridor GT,"These are urban kiranas in metro cities, characterized by extremely high footfall and proximity to offices, suggesting a strong 'on-the-go' shopper mission. Despite high SEC A/B household presence, VPO is moderate, indicating quick, small-basket transactions. Premium category sales are low, pointing to a need for convenient, mid-tier options.","Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points to increase average transaction value, leveraging high footfall and office proximity for quick consumption."
