DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
119176.0,1802496,,1802496,Jindal Prov St,Retail,29.999479,75.406395,Punjab,Mansa,Mansa,Mansa (Punj),Urban,Court Rd,Kirana Str,Singla Agencies-Tt,10.72,0.34,1.48,44.64,0.6,24.86,1.29,2.46,0.34,2.46,2.46,2.46,0.34,0.34,16,31,32,0.0,4.0,4.0,67.0,61.0,73.0,103.0,143.0,206.0,185.0,189.0,179.0,16.0,22.0,9.0,149.0,377.0,605.0,Medium (30 to 100),0.0,0.0,0.0,0.0,210918.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,135.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,210527.0643,,,,94005.0449,2192.0938,327.7764,8945.4456,,,,,2345.454,39450.555,,,86571.4569,12032.3996,,,327.7764,144727.5453,,,,,,601452.6122,50121.051017,27.25,12,North India,Retail,67.0,123.0,195.5,184.0,15.666666666666666,0.34,0.34,1.29,0.34,16.0,99.68,A,,1.0,1,0.0,0.0,7902.76,-42218.29,-534.2,False,A,1966.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,20.0,,20.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
121723.0,S00884400,Ranchi,S00884400,Nikhal Stroe,Retail,23.388744,85.371469,Jharkhand,Ranchi,Kanke,Ranchi,Urban,Jai Prakash Nagar,Kirana Str,Arihant Agencies - Tt,3.58,0.41,0.61,5.06,0.25,0.0,4.15,0.51,0.19,0.23,0.19,0.19,0.19,0.19,11,36,72,1.0,2.0,7.0,81.0,99.0,110.0,273.0,353.0,573.0,659.0,622.0,571.0,110.0,105.0,84.0,437.0,866.0,2043.0,High (>100),173.0,58.0,11.0,1.0,90440.0,Yes,Yes,Yes,No,No,Yes,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,Urban,2.24436,Yes,135.0,<200 sqft,Micro Outlet,JHARKHAND,Balance,yes,3581.8146,,,,260699.361,999.999,69085.206,,,,219.6852,,,818.181,,,2509.0884,43456.0932,,,122351.3125,187068.2229,,,,,,690788.9638,57565.746983,22.17,12,East India,Retail,96.66666666666669,313.0,616.0,596.5,99.66666666666669,0.19,0.41,0.0,0.19,12.0,99.77,A,150.0,1.0,1,0.0,1.0,6478.86,-51086.89,-788.5,False,A,1978.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
100629.0,S01061358,Kolkata,S01061358,Theatar Store,Retail,22.544058,88.36035,West Bengal,Kolkata,Kolkata,Kolkata,Urban,Karaya,Kirana Str,S. D. Agency,3.38,0.08,0.28,0.33,0.01,0.07,1.35,0.74,0.31,0.31,0.31,0.31,0.31,0.31,30,113,227,0.0,26.0,57.0,196.0,208.0,196.0,516.0,499.0,530.0,566.0,551.0,431.0,166.0,70.0,139.0,585.0,854.0,1997.0,High (>100),0.0,0.0,0.0,0.0,259823.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,Urban,1.4,Yes,40.0,<200 sqft,Micro Outlet,WEST BENGAL,Kolkata,yes,3290.9058,,,,28418.1534,2145.4524,358658.7984,,,,3853.248,,15818.184,1036.3626,29547.2742,,1818.18,21236.3424,,,105545.217,65260.845,,,,,,636628.9632,53052.4136,26.67,12,East India,Retail,200.0,507.5,548.0,491.0,125.0,0.31,0.08,0.07,0.31,30.0,99.72,A,150.0,1.0,1,0.0,1.0,7568.75,-45483.66,-600.9,False,A,1973.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
100629.0,2325449,Kolkata,2325449,Urban Choice,Retail,22.528602,88.405447,West Bengal,Kolkata,Kolkata,Kolkata,Urban,Anandapur,Kirana Str,Binoy Trading Company,3.41,0.22,1.51,1.37,0.59,0.49,3.51,1.72,0.47,0.92,0.47,0.47,0.47,0.47,4,24,83,0.0,11.0,14.0,58.0,61.0,56.0,136.0,136.0,145.0,165.0,232.0,152.0,63.0,57.0,126.0,340.0,375.0,414.0,Medium (30 to 100),0.0,0.0,0.0,0.0,229186.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,Urban,1.6,Yes,160.0,<200 sqft,Micro Outlet,WEST BENGAL,Kolkata,yes,16374.8914,,,,75401.5158,7290.9018,1301715.7794,1163.6352,354.5451,,96202.7604,,7909.092,4036.3596,4040.0002,409.0905,8163.6282,118389.6558,6345.4482,,564334.3962,328733.3088,,,,,,2540865.0086,211738.750717,44.5,12,East India,Retail,58.333333333333336,136.0,155.0,192.0,82.0,0.47,0.22,0.49,0.47,4.0,99.99,A,,1.0,1,0.0,1.0,12904.85,-198833.91,-1540.8,False,A,1999.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,20.0,,20.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
121527.0,S00565372,Patna,S00565372,New Manish Kirana Store,Retail,25.608422,85.078575,Bihar,Patna,Patna Rural,Patna,Urban,Khajpura,Kirana Str,Kamla Trading - Tt,2.63,0.02,0.45,5.75,0.28,0.0,1.79,0.5,0.35,0.35,0.35,0.35,0.35,0.35,23,63,137,4.0,8.0,17.0,149.0,130.0,161.0,335.0,353.0,588.0,330.0,238.0,229.0,78.0,66.0,47.0,332.0,706.0,1389.0,Low (<30),49.0,55.0,70.0,7.0,305753.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,Urban,1.6,Yes,80.0,<200 sqft,Micro Outlet,BIHAR,Patna,yes,27332.7795,,,,166267.0932,927.2718,78496.1212,218.1816,,,,,,5781.8124,,,23817.3678,10867.974,,,43714.8975,138376.1652,,,,,,495799.6642,41316.638683,32.83,12,East India,Retail,146.66666666666666,344.0,459.0,233.5,63.66666666666666,0.35,0.02,0.0,0.35,27.0,99.56,A,15.0,1.0,1,0.0,1.0,9401.75,-31914.89,-339.5,False,A,1952.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,10.0,10.0,10.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
119089.0,S01334683,,S01334683,Rehmat Bakery,Retail,30.241109,75.839934,Punjab,Sangrur,Sangrur,Sangrur,Urban,Partap Nagar,Bakery (Stand-alone),Ram Chand Confectionery Storey,3.25,0.16,0.83,7.24,0.68,22.37,0.95,1.32,0.69,1.32,1.32,1.32,0.69,0.69,17,35,52,6.0,7.0,7.0,141.0,144.0,177.0,233.0,276.0,431.0,432.0,411.0,419.0,28.0,33.0,10.0,344.0,700.0,1422.0,Medium (30 to 100),0.0,0.0,0.0,0.0,203801.0,Yes,Yes,No,No,No,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,230.0,200–300 sqft,Small Outlet,PUNJAB,Balance,yes,332176.758,,,,50999.1651,2901.184,2089.477,19697.2152,,,137.616,,7423.872,79877.394,6872.7276,,202774.5117,24440.2964,,1777.776,2596.37,196518.3948,,,,,,930282.7578,77523.56315,31.58,12,North India,Retail,154.0,254.5,431.5,415.0,23.666666666666668,0.69,0.16,0.95,0.69,23.0,99.88,A,,1.0,1,0.0,0.0,9245.81,-68277.75,-738.5,False,A,1987.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2.0,10.0,10.0,10.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
115547.0,1738013,,1738013,Babber Con,Retail,30.153317,76.192425,Punjab,Patiala,Samana,Samana,Urban,Samana,Kirana Str,Mittal Agencies,4.13,0.18,1.26,29.0,0.71,37.95,17.1,4.38,0.36,4.38,4.38,4.38,0.36,0.36,9,12,16,0.0,2.0,2.0,185.0,386.0,757.0,823.0,1334.0,1868.0,1213.0,1540.0,1296.0,538.0,608.0,304.0,1368.0,3252.0,6552.0,High (>100),0.0,0.0,0.0,0.0,160230.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,170.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,410029.9218,,909.09,,13783.3956,2190.9069,467.0604,25868.7504,,,,,,78420.4752,,,235510.4406,7874.3106,,,809.4324,46473.1111,,,,,,822336.895,68528.074583,32.75,12,North India,Retail,442.6666666666667,1078.5,1540.5,1418.0,483.3333333333333,0.36,0.18,17.1,0.36,9.0,99.85,A,150.0,1.0,1,0.0,0.0,9540.03,-58988.04,-618.3,False,A,1981.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,20.0,,20.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
107771.0,S00647383,Thane,S00647383,Hari Om Super Market,Retail,19.209451,72.950908,Maharashtra,Thane,Thane,Thane,Urban,Dable Nagar,Grocry Dept Str (Stand-alone),Knb Enterprises,2.73,0.12,0.24,1.62,0.14,2.54,3.7,1.69,0.04,0.04,0.04,0.04,0.04,0.04,20,40,91,3.0,4.0,21.0,400.0,671.0,641.0,1551.0,2024.0,2488.0,2941.0,3121.0,2793.0,395.0,271.0,183.0,3468.0,5743.0,6682.0,High (>100),1076.0,2061.0,354.0,104.0,230023.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,0.9,Yes,1160.0,1000+ sqft,Super Store,MAHARASHTRA,Thane,yes,556720.3932,,109.0908,,2845.4517,636.363,,7109.0838,,,,,,65509.0254,,127.2728,430102.338,,151821.5972,,,4472.7228,,,,,,1219453.3387,101621.111558,22.67,12,MAHARASHTRA,Retail,570.6666666666666,1787.5,2714.5,2957.0,283.0,0.04,0.12,2.54,0.04,23.0,99.94,A,150.0,1.0,1,1.0,1.0,7765.83,-93855.28,-1208.6,False,A,1994.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
117581.0,S00690463,,S00690463,Sharma Confectionery I,AFH - Others,30.493423,76.600903,Punjab,Patiala,Rajpura,Rajpura,Urban,Bharat Colony,Kirana Str,M/S Kanan Food-Tt,1.88,0.11,1.24,18.17,3.01,45.53,1.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,13,33,52,0.0,6.0,6.0,55.0,48.0,57.0,87.0,107.0,154.0,130.0,140.0,138.0,23.0,28.0,21.0,124.0,270.0,492.0,Low (<30),0.0,0.0,0.0,0.0,176819.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,215.0,200–300 sqft,Small Outlet,PUNJAB,Balance,yes,374281.2377,,,,474647.4447,72.7272,241.2451,309.0906,,,,,,63672.6636,,,438876.8948,24754.5207,,,428.2361,520743.7989,,,,,,1898027.8594,158168.988283,33.0,12,North India,OPSC21-AFH - Others,53.333333333333336,97.0,142.0,139.0,24.0,0.04,0.11,1.06,0.04,13.0,99.96,A,15.0,1.0,1,0.0,0.0,9641.77,-148527.22,-1540.5,False,A,1996.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,20.0,,20.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
121406.0,1824139,,1824139,Deepa Conf,Retail,30.714082,74.401852,Punjab,Firozpur,Jalalabad,Guru Har Sahai,Urban,Guru Har Sahai,Kirana Str,Sharad Enterprises-Tt,2.69,0.1,0.76,18.48,0.3,33.05,0.18,1.31,0.51,1.31,1.31,1.31,0.51,0.51,11,23,33,1.0,1.0,1.0,55.0,102.0,236.0,219.0,420.0,605.0,395.0,492.0,360.0,152.0,170.0,85.0,372.0,918.0,2153.0,High (>100),0.0,0.0,0.0,0.0,243317.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,,,Yes,135.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,41381.7768,77.9824,,,30109.0608,15718.1661,507.9282,10509.0804,,,,,,18545.436,,,26799.9732,64263.5721,2181.816,,594.668,177308.9136,,,,,,387998.3736,32333.1978,27.83,12,North India,Retail,131.0,319.5,500.0,426.0,135.66666666666666,0.51,0.1,0.18,0.51,12.0,99.33,A,150.0,1.0,1,0.0,0.0,8090.62,-24242.57,-299.6,False,A,1925.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,10.0,10.0,10.0,1.0,4,5,High-Value Urban Kirana Mixed Mission,"These are high-performing urban kiranas with very high VPO and good SKU breadth, serving a mixed-income demographic. They have high cooler penetration and significant premium category sales, indicating a blend of immediate consumption and aspirational purchases. These outlets are critical for both volume and value growth.","Prioritize premium SKU distribution and visibility within chillers, implement targeted trade marketing programs to incentivize retailer advocacy, and ensure consistent stock of both core and premium offerings."
