DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
114047.0,1477336,Bengaluru,1477336,W M Store,Retail,12.968653,77.64403,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,Urban,Jeevan Bhima Nagar,Kirana Str,Shiva Agencies,3.25,0.28,0.48,0.28,0.2,0.28,1.22,0.17,0.17,0.17,0.17,0.17,0.17,0.17,11,67,116,14.0,40.0,50.0,223.0,179.0,207.0,488.0,380.0,613.0,636.0,529.0,506.0,107.0,57.0,39.0,831.0,1080.0,1189.0,Medium (30 to 100),0.0,0.0,0.0,0.0,538360.0,Yes,Yes,Yes,No,No,Yes,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Urban,2.0,Yes,105.0,<200 sqft,Micro Outlet,KARNATAKA,Bengaluru,yes,2436.3612,,,,11218.1706,909.09,1248.4275,,,,,,,,,,1581.8166,,681.8175,,1069.902,17272.71,,,,,,36418.2954,3034.85795,18.42,12,West India,Retail,203.0,434.0,624.5,517.5,67.66666666666667,0.17,0.28,0.28,0.17,25.0,66.75,B,,1.0,1,0.0,1.0,5375.24,2340.38,43.5,True,B+,443.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1.0,5.0,5.0,5.0,1.0,3,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
117030.0,2393156,,2393156,Jalaram Bakery,Retail,21.500886,70.426322,Gujarat,Junagadh,Junagadh,Junagadh,Urban,Junagadh,Bakery (Stand-alone),Everest Agency,2.7,0.28,0.13,65.05,2.6,26.4,4.55,25.91,0.16,0.16,0.16,0.16,0.16,0.16,8,15,34,3.0,3.0,5.0,562.0,1164.0,4032.0,3221.0,9217.0,14278.0,8714.0,10842.0,8049.0,3277.0,3169.0,1585.0,13829.0,23948.0,36175.0,High (>100),,,,,209919.0,Yes,Yes,No,No,No,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,190.0,<200 sqft,Micro Outlet,GUJARAT,Balance,yes,6042.6819,,,,22118.1597,272.727,,,,,,,,,,,218.1816,,,,,418.1814,,,,,,29069.9316,2422.4943,3.83,12,GUJARAT,Retail,1919.3333333333333,6219.0,11496.0,9445.5,2677.0,0.16,0.13,4.55,0.16,11.0,57.36,C,150.0,1.0,1,0.0,0.0,1325.47,-1097.02,-82.8,False,C,2942.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban Neighbourhood Grab & Go GT with High Impulse,"These are established, small urban GT outlets like kiranas, bakeries, and sweet shops, serving a mix of SEC C/D households. With high cooler penetration and significant footfall, they cater to daily immediate consumption needs and impulse purchases. Shoppers are looking for quick, convenient refreshment and snacks.",Optimize chiller assortment for high-turnover impulse SKUs and ensure prominent POSM for chilled beverages to maximize immediate consumption sales.
109853.0,2531511,Pondicherry,2531511,Ganesh Juice,Retail,11.9505,79.810016,Pondicherry,Pondicherry,Ozhukarai,Ozhukarai,Urban,Ozhukarai,Juice Centr,Aalayam Traders,2.96,0.0,1.18,0.0,119.47,13.59,3.43,0.0,0.98,0.0,0.0,0.0,0.0,0.0,15,56,115,0.0,3.0,3.0,1301.0,2456.0,5432.0,5206.0,9515.0,13646.0,8082.0,10360.0,9494.0,3678.0,3309.0,1654.0,18743.0,33196.0,28813.0,High (>100),100.0,109.0,10.0,2.0,147646.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 5,,GT,,,Yes,95.0,<200 sqft,Micro Outlet,PUDHUCHERRY,Pondicherry,yes,,,,,1327.2714,109.0908,1647.639,,545.454,,,,,,,,,,1145.455,,2199.354,5763.6306,,,,,,12737.8948,1415.321644,7.67,9,South India,Retail,3063.0,7360.5,10864.0,9927.0,2880.333333333333,0.0,0.0,3.43,0.0,15.0,35.09,C,150.0,1.0,1,0.0,0.0,2203.79,788.47,35.8,True,C+,1978.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,5.0,1.0,2,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
114084.0,2426473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHARASHTRA,Pune,no,3399.9966,,836.3628,,10945.4436,909.09,,454.545,,,,,,454.545,,,7490.9016,,,,,12218.1696,,,,,,36709.0542,5244.1506,19.5,7,MAHARASHTRA,,,,,,,,,,,,83.37,A,,,0,0.0,0.0,5799.43,555.28,9.6,True,A+,513.0,,,,,,,,,0,,,,,0.0,4,1,Rural Kirana Everyday Needs with High Affordability,"These are small, predominantly rural kiranas serving low-income SEC D/E households, characterized by very low VPO and limited SKU range. Shoppers prioritize extreme affordability and basic, high-frequency needs, often purchasing single-serve or sachet formats. Many are new or less active outlets.",Focus on driving numeric distribution of Rs. 5 and Rs. 10 entry-price-point SKUs and basic MSL compliance to capture trial and penetration in this price-sensitive segment.
121737.0,1600273,Bathinda,1600273,Shri Ganesh Ice Cream,Retail,29.917398,73.879635,Rajasthan,Ganganagar,Ganganagar,Ganganagar,Urban,5G Choti,Ice Cream Parlour (Stand-alone),Shorya Trading Company-Srigang,0.89,47.97,1.76,344.89,0.19,207.69,1.8,217.07,0.93,205.32,205.32,205.32,205.32,205.32,39,108,168,0.0,1.0,1.0,124.0,137.0,163.0,202.0,282.0,396.0,361.0,323.0,313.0,46.0,56.0,49.0,324.0,790.0,1223.0,Medium (30 to 100),0.0,0.0,0.0,0.0,5179275.0,No,No,No,No,No,No,No,,,,,GT,Urban,1.5,Yes,145.0,<200 sqft,Micro Outlet,RAJASTHAN,Balance,yes,46856.0808,,,,13403.9412,2218.1796,0.0,4529.64,136.3635,,,,,21382.5879,,,38731.188,5045.0556,545.454,,,12218.1696,,,,,,145066.6602,12088.88835,25.92,12,North India,Retail,141.33333333333334,242.0,378.5,318.0,50.333333333333336,205.32,1.76,1.8,0.93,39.0,95.93,A,,1.0,1,0.0,1.0,7416.12,-4672.77,-63.0,False,A,1487.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,4,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
119176.0,1802496,,1802496,Jindal Prov St,Retail,29.999479,75.406395,Punjab,Mansa,Mansa,Mansa (Punj),Urban,Court Rd,Kirana Str,Singla Agencies-Tt,10.72,0.34,1.48,44.64,0.6,24.86,1.29,2.46,0.34,2.46,2.46,2.46,0.34,0.34,16,31,32,0.0,4.0,4.0,67.0,61.0,73.0,103.0,143.0,206.0,185.0,189.0,179.0,16.0,22.0,9.0,149.0,377.0,605.0,Medium (30 to 100),0.0,0.0,0.0,0.0,210918.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,135.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,210527.0643,,,,94005.0449,2192.0938,327.7764,8945.4456,,,,,2345.454,39450.555,,,86571.4569,12032.3996,,,327.7764,144727.5453,,,,,,601452.6122,50121.051017,27.25,12,North India,Retail,67.0,123.0,195.5,184.0,15.666666666666666,0.34,0.34,1.29,0.34,16.0,99.68,A,,1.0,1,0.0,0.0,7902.76,-42218.29,-534.2,False,A,1966.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,20.0,,20.0,1.0,4,5,High-Value Urban GT with Mixed Channel Potential,"These are high-performing, established urban GT outlets with very high VPO and SKU count, often including bakeries. They serve a mixed SEC profile, with significant premium sales and high cooler penetration, indicating a strong capability to cater to both immediate consumption and some premium offerings, potentially with AfH spillover.","Focus on premiumization by expanding the range of high-margin single-serve and mid-size packs, and leverage strong cooler presence for seasonal activation campaigns."
114622.0,2464001,,2464001,Jagannath Complex,Retail,20.83993,85.087194,Orissa,Anugul,Anugul,Anugul,Urban,Anugul,Kirana Str,Manoj Supply Agency,1.39,0.24,85.67,94.13,1.11,0.0,2.74,85.96,0.83,83.29,83.29,83.29,83.29,83.29,13,37,55,0.0,0.0,0.0,153.0,294.0,675.0,641.0,1216.0,1758.0,999.0,1280.0,1175.0,508.0,720.0,360.0,2159.0,3094.0,4061.0,High (>100),0.0,0.0,0.0,0.0,461817.0,Yes,Yes,Yes,No,No,Yes,Yes,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,Yes,115.0,<200 sqft,Micro Outlet,ORISSA,Balance,yes,11925.6798,,,,3318.1785,36.3636,1749.7667,,,,146.7904,,,1399.9986,,,3125.6886,199.6046,,,1556.1452,6330.4306,,,,,,29788.6466,2482.387217,22.42,12,East India,Retail,374.0,928.5,1378.5,1227.5,529.3333333333334,83.29,0.24,0.0,0.83,13.0,58.39,C,150.0,1.0,1,0.0,0.0,6524.1,4041.71,62.0,True,C+,42.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1.0,5.0,5.0,5.0,1.0,2,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
107610.0,S00865549,,S00865549,Happy Karyana Store,Retail,31.380664,75.381657,Punjab,Kapurthala,Kapurthala,Kapurthala,Urban,Shiv Colony,Kirana Str,Shiva Traders,5.42,0.27,0.41,0.73,0.98,48.8,1.59,16.3,0.47,15.62,15.62,15.62,0.47,0.47,15,35,48,3.0,3.0,3.0,76.0,64.0,79.0,118.0,121.0,208.0,233.0,202.0,218.0,20.0,20.0,5.0,179.0,349.0,652.0,Medium (30 to 100),0.0,0.0,0.0,0.0,179674.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,Yes,110.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,22135.9473,,,,6081.8121,559.6838,1060.088,818.181,,,,,,4272.723,,,10542.2826,609.0903,,,809.0154,16318.9611,,,,,,63207.7846,5267.315383,25.58,12,North India,Retail,73.0,119.5,220.5,210.0,15.0,0.47,0.27,1.59,0.47,18.0,83.5,A,,1.0,1,0.0,0.0,7400.48,2133.17,28.8,True,A+,193.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,4,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
101188.0,2177819,Hisar,2177819,Pawan Conf,Retail,29.12902,75.741777,Haryana,Hisar,Hisar,Hisar,Urban,Shiv Nagar,Kirana Str,Anshul Trading Company - TT,2.97,0.23,25.82,89.8,0.78,0.0,3.05,65.41,1.06,65.41,65.41,65.41,65.41,65.41,8,40,75,0.0,0.0,0.0,49.0,38.0,47.0,88.0,94.0,152.0,105.0,74.0,81.0,14.0,14.0,5.0,105.0,270.0,335.0,Medium (30 to 100),68.0,56.0,20.0,5.0,226965.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Urban,0.8,Yes,100.0,<200 sqft,Micro Outlet,HARYANA,Hisar,yes,14727.258,,181.818,,13527.2592,,1526.7906,,,,107.1432,,,3163.6332,,,5236.3584,3054.5424,,,160.7148,18836.3448,,,,,,60521.8626,6052.18626,17.3,10,North India,Retail,44.66666666666666,91.0,128.5,77.5,11.0,65.41,0.23,0.0,1.06,8.0,86.6,A,,1.0,1,0.0,1.0,5021.53,-1030.66,-20.5,False,A,899.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,4,2,Urban High-Footfall Impulse GT with Low Premium,"This is the largest cluster of small, established urban GT outlets, including kiranas and paan kiosks, serving SEC C/D households. Despite high school proximity and significant footfall, VPO is low with minimal premium sales, indicating a strong focus on affordable, immediate consumption and youth-driven impulse purchases.","Implement a targeted chiller seeding program for high-footfall outlets and ensure strong visibility of Rs. 10-20 impulse packs, especially near schools and colleges."
114235.0,2285268,,2285268,Monu Kirana Store,Retail,25.198133,76.01524,Rajasthan,Kota,Digod,Padliya,Rural,,Kirana Str,Danmal Chetankumar Jain,16.64,140.48,9.75,23.1,4.48,277.96,6.71,15.79,7.98,7.98,7.98,7.98,7.98,7.98,1,3,8,0.0,0.0,0.0,1.0,0.0,0.0,43.0,30.0,36.0,47.0,41.0,63.0,31.0,34.0,14.0,36.0,89.0,186.0,Low (<30),0.0,0.0,0.0,0.0,109119.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,100.0,<200 sqft,Micro Outlet,RAJASTHAN,Kota,yes,8843.4702,,,,6072.326,363.636,9.1744,72.7272,,,41.0836,,,799.9992,,,5418.1764,72.332,54.5454,,32.1104,15824.8857,,,,,,37604.4665,3133.705542,14.08,12,North India,Retail,0.3333333333333333,36.5,41.5,52.0,26.33333333333333,7.98,9.75,6.71,7.98,1.0,67.88,B,15.0,1.0,1,0.0,0.0,4466.9,1333.2,29.8,True,B+,853.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,20.0,,20.0,0.0,3,0,Urban Neighbourhood Grab & Go GT with High Impulse,"These are established, small urban GT outlets like kiranas, bakeries, and sweet shops, serving a mix of SEC C/D households. With high cooler penetration and significant footfall, they cater to daily immediate consumption needs and impulse purchases. Shoppers are looking for quick, convenient refreshment and snacks.",Optimize chiller assortment for high-turnover impulse SKUs and ensure prominent POSM for chilled beverages to maximize immediate consumption sales.
