DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
117030.0,2393156,,2393156,Jalaram Bakery,Retail,21.500886,70.426322,Gujarat,Junagadh,Junagadh,Junagadh,Urban,Junagadh,Bakery (Stand-alone),Everest Agency,2.7,0.28,0.13,65.05,2.6,26.4,4.55,25.91,0.16,0.16,0.16,0.16,0.16,0.16,8,15,34,3.0,3.0,5.0,562.0,1164.0,4032.0,3221.0,9217.0,14278.0,8714.0,10842.0,8049.0,3277.0,3169.0,1585.0,13829.0,23948.0,36175.0,High (>100),,,,,209919.0,Yes,Yes,No,No,No,Yes,Yes,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,190.0,<200 sqft,Micro Outlet,GUJARAT,Balance,yes,6042.6819,,,,22118.1597,272.727,,,,,,,,,,,218.1816,,,,,418.1814,,,,,,29069.9316,2422.4943,3.83,12,GUJARAT,Retail,1919.3333333333333,6219.0,11496.0,9445.5,2677.0,0.16,0.13,4.55,0.16,11.0,57.22,C,150.0,1.0,1,0.0,0.0,1450.55,-971.94,-67.0,False,C,1458.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
119176.0,1802496,,1802496,Jindal Prov St,Retail,29.999479,75.406395,Punjab,Mansa,Mansa,Mansa (Punj),Urban,Court Rd,Kirana Str,Singla Agencies-Tt,10.72,0.34,1.48,44.64,0.6,24.86,1.29,2.46,0.34,2.46,2.46,2.46,0.34,0.34,16,31,32,0.0,4.0,4.0,67.0,61.0,73.0,103.0,143.0,206.0,185.0,189.0,179.0,16.0,22.0,9.0,149.0,377.0,605.0,Medium (30 to 100),0.0,0.0,0.0,0.0,210918.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,135.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,210527.0643,,,,94005.0449,2192.0938,327.7764,8945.4456,,,,,2345.454,39450.555,,,86571.4569,12032.3996,,,327.7764,144727.5453,,,,,,601452.6122,50121.051017,27.25,12,North India,Retail,67.0,123.0,195.5,184.0,15.666666666666666,0.34,0.34,1.29,0.34,16.0,99.66,A,,1.0,1,0.0,0.0,7967.51,-42153.54,-529.1,False,A,983.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,20.0,,20.0,1.0,4,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
114235.0,2285268,,2285268,Monu Kirana Store,Retail,25.198133,76.01524,Rajasthan,Kota,Digod,Padliya,Rural,,Kirana Str,Danmal Chetankumar Jain,16.64,140.48,9.75,23.1,4.48,277.96,6.71,15.79,7.98,7.98,7.98,7.98,7.98,7.98,1,3,8,0.0,0.0,0.0,1.0,0.0,0.0,43.0,30.0,36.0,47.0,41.0,63.0,31.0,34.0,14.0,36.0,89.0,186.0,Low (<30),0.0,0.0,0.0,0.0,109119.0,Yes,Yes,Yes,No,Yes,Yes,No,Rs. 20,>Rs. 20,Rs. 20,Rs. 20,GT,,,Yes,100.0,<200 sqft,Micro Outlet,RAJASTHAN,Kota,yes,8843.4702,,,,6072.326,363.636,9.1744,72.7272,,,41.0836,,,799.9992,,,5418.1764,72.332,54.5454,,32.1104,15824.8857,,,,,,37604.4665,3133.705542,14.08,12,North India,Retail,0.3333333333333333,36.5,41.5,52.0,26.33333333333333,7.98,9.75,6.71,7.98,1.0,67.48,B,15.0,1.0,1,0.0,0.0,4419.93,1286.22,29.1,True,B+,439.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1.0,20.0,,20.0,0.0,3,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
112985.0,2290494,Hyderabad,2290494,Ramakrishna Mithai Bhandar,Retail,17.518518,78.62737,Telangana,Medchal-Malkajgiri,Keesara,Cheeriyal,Rural,,Sweet Shop (Stand-alone),Anurag Enterprises,4.06,0.45,7.71,7.77,3.56,5.27,7.12,6.77,5.89,6.77,5.89,6.65,0.0,5.89,4,14,22,0.0,0.0,0.0,18.0,17.0,15.0,47.0,9.0,120.0,189.0,170.0,293.0,96.0,78.0,28.0,176.0,357.0,377.0,Low (<30),0.0,0.0,0.0,0.0,223522.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Periphery,4.7,Yes,135.0,<200 sqft,Micro Outlet,TELANGANA,Hyderabad,yes,,,90.909,,4609.0863,272.727,782.91,,,,,,,,,,,181.818,,,443.4572,7272.72,,,,,,13653.6275,1241.238864,10.45,11,South India,Retail,16.666666666666668,28.0,154.5,231.5,67.33333333333333,0.0,0.45,5.27,5.89,4.0,30.26,C,15.0,1.0,1,0.0,0.0,3412.51,2171.28,63.6,True,C+,339.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,10.0,0.0,2,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
119683.0,2655008,,2655008,Yogi Bakers,AFH - Others,27.1587886,77.2877447,Rajasthan,Bharatpur,Nadbai,Paharsar,Rural,,Bakery (Stand-alone),Bs Traders,9.51,4.02,19.04,77.3,5.01,212.92,7.76,123.68,48.49,123.68,123.68,123.68,123.68,123.68,4,10,19,0.0,0.0,0.0,1.0,3.0,6.0,10.0,1.0,47.0,76.0,104.0,144.0,81.0,87.0,35.0,46.0,85.0,403.0,Low (<30),0.0,0.0,0.0,0.0,79502.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,,,Yes,310.0,300–600 sqft,Core Outlet,RAJASTHAN,Balance,yes,,,,,636.363,,412.848,,,,,,,,,,356.815,545.454,,,412.848,909.09,,,,,,3273.418,1091.139333,3.67,3,North India,OPSC21-AFH - Others,3.333333333333333,5.5,61.5,124.0,67.66666666666667,123.68,4.02,7.76,48.49,4.0,25.58,D,15.0,1.0,1,0.0,0.0,2073.74,982.6,47.4,True,D+,868.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,,10.0,10.0,10.0,0.0,1,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
117829.0,2405831,Mumbai,2405831,Life Care Medical,Retail,19.205005,72.873725,Maharashtra,Mumbai (Combined),Mumbai,Mumbai (Grtr),Urban,Kandivali E.,Chemist (Stand-alone),Manjushri Enterprise,5.04,0.11,0.1,3.21,0.13,0.2,2.27,0.47,0.11,0.17,0.11,0.17,0.11,0.11,18.0,54.0,114.0,15.0,21.0,36.0,381.0,319.0,334.0,822.0,582.0,828.0,912.0,948.0,761.0,226.0,90.0,148.0,1144.0,1691.0,2521.0,High (>100),296.0,850.0,159.0,81.0,317806.0,Yes,Yes,No,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,3.4,Yes,90.0,<200 sqft,Micro Outlet,MAHARASHTRA,Mumbai,yes,,,,,2525.692,,,,,,,,,,,,,,,,,2999.997,,,,,,5525.689,789.384143,4.0,7,MAHARASHTRA,Retail,344.6666666666667,702.0,870.0,854.5,154.66666666666666,0.11,0.1,0.2,0.11,33.0,16.46,D,150.0,1.0,1,0.0,1.0,1105.34,315.96,28.6,True,D+,1259.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,1,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
121042.0,2166706,,2166706,Sahil Saurav Juice Bar Landran (1911),Retail,30.68982,76.66506,Punjab,Rupnagar,S.A.S.Nagar (Mohali),Landran,Rural,,Juice Centr,Mehta Traders,3.44,0.43,0.3,23.45,1.07,53.0,4.91,4.92,0.56,4.92,4.92,4.92,0.56,0.56,2,7,18,9.0,9.0,9.0,22.0,27.0,31.0,31.0,8.0,58.0,89.0,55.0,125.0,29.0,19.0,7.0,49.0,119.0,281.0,Low (<30),0.0,0.0,0.0,0.0,106372.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 5,,GT,,,Yes,105.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,13890.8952,,,,5064.0304,818.181,,2709.0882,272.727,,,,,3199.9968,,1145.4534,13205.523,1136.3625,2281.8159,222.222,45.455,7316.9928,481.481,,,,,51790.2242,4708.2022,24.82,11,North India,Retail,26.666666666666668,19.5,73.5,90.0,18.33333333333333,0.56,0.3,4.91,0.56,11.0,80.92,A,15.0,1.0,1,0.0,0.0,7422.37,2714.17,36.6,True,A+,50.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,5.0,0.0,4,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
112172.0,S01461788,,S01461788,Regi Kumar Maligai,Retail,8.1891743,77.2396453,Tamil Nadu,Kanniyakumari,Kalkulam,Reethapuram,Urban,Reethapuram,Kirana Str,Alwin Agnecy,1.46,0.44,3.71,143.01,0.0,1.95,7.98,72.79,13.06,72.79,72.45,72.45,0.0,72.45,5,16,30,0.0,0.0,0.0,13.0,73.0,194.0,297.0,650.0,951.0,867.0,1075.0,718.0,230.0,95.0,47.0,996.0,2071.0,2247.0,High (>100),0.0,0.0,0.0,0.0,90055.0,Yes,Yes,Yes,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,Rs. 15,GT,,,No,150.0,<200 sqft,Micro Outlet,TAMIL NADU,Balance,yes,1418.1804,,,,109.0908,,9032.2798,,,,,,2345.454,,,,327.2724,,,,5297.8672,5894.8565,,,,,,24425.0011,2035.416758,12.0,12,South India,Retail,93.33333333333331,473.5,909.0,896.5,124.0,0.0,0.44,1.95,13.06,5.0,50.52,C,150.0,0.0,1,0.0,0.0,3532.0,1496.59,42.4,True,C+,658.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
121996.0,1708437,Hyderabad,1708437,Sri Ram Sai Medical Hall,Retail,17.348243,78.515703,Telangana,Hyderabad,Hyderabad unassignd,Hyderabad,Urban,Champapet,Chemist (Stand-alone),Santhoshi  Enterprises,2.07,0.05,0.46,2.86,0.23,0.04,2.5,1.91,0.23,0.23,0.23,0.23,0.0,0.23,48,148,348,0.0,27.0,0.0,145.0,177.0,206.0,477.0,482.0,739.0,622.0,531.0,413.0,85.0,63.0,167.0,710.0,1443.0,1481.0,Medium (30 to 100),44.0,66.0,75.0,9.0,145944.0,Yes,Yes,No,No,Yes,No,No,Rs. 10,Rs. 10,Rs. 10,,GT,Urban,0.6,Yes,100.0,<200 sqft,Micro Outlet,TELANGANA,Balance,yes,,,,,5145.4494,545.454,481.656,,,,,,,,,,,363.636,,,550.464,8072.7192,,,,,,15159.3786,1894.922325,10.13,8,South India,Retail,176.0,479.5,680.5,472.0,105.0,0.0,0.05,0.04,0.23,48.0,47.56,C,,1.0,1,0.0,1.0,2692.82,797.9,29.6,True,C+,993.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,10.0,10.0,10.0,1.0,2,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
113918.0,2628353,,2628353,Jagtar Canteen,Retail,31.849232,75.681718,Punjab,Hoshiarpur,Dasua,Mian Ka Pind,Rural,,Canteen,M.S Enterprises,1.42,3.12,4.36,38.22,3.76,15.39,3.81,19.65,1.49,19.65,19.65,19.65,1.49,1.49,2,7,15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,16.0,27.0,23.0,42.0,13.0,8.0,3.0,20.0,34.0,70.0,Low (<30),0.0,0.0,0.0,0.0,114856.0,Yes,Yes,No,No,No,No,No,Rs. 10,Rs. 10,Rs. 10,,Institutional ,,,Yes,160.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,6218.1756,,,,4354.5411,654.5448,2943.7314,1090.908,,,,,,1145.4534,,136.3635,3909.087,2018.1798,181.818,111.111,1313.941,10836.3528,,,,,,34914.2074,3174.018855,14.36,11,North India,Retail,0.6666666666666666,0.5,21.5,32.5,8.0,1.49,3.12,3.81,1.49,2.0,67.98,B,15.0,1.0,1,0.0,0.0,4566.56,1392.54,30.5,True,B+,415.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10.0,10.0,10.0,0.0,3,0,Urban High-Footfall Daily Refreshment GT,"These are established, small-format urban General Trade outlets, primarily kiranas, bakeries, and sweet shops. They serve a relatively affluent customer base with high cooler penetration, catering to daily refreshment and impulse purchases, often including premium products.","Optimize chiller planogram for premium and impulse SKUs, ensuring prominent placement and full range availability of high-margin beverage and snack items. Drive secondary display compliance for key brands."
