DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
114084.0,2426473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHARASHTRA,Pune,no,3399.9966,,836.3628,,10945.4436,909.09,,454.545,,,,,,454.545,,,7490.9016,,,,,12218.1696,,,,,,36709.0542,5244.1506,19.5,7,MAHARASHTRA,,,,,,,,,,,,83.14,A,,,0,0.0,0.0,5758.51,514.36,8.9,True,A+,259.0,,,,,,,,,0,,,,,0.0,4,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
119203.0,2796202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRA PRADESH,Balance,no,,,,,,,4128.48,,,,,,,,,,,,,,,,,,,,,4128.48,4128.48,3.0,1,South India,,,,,,,,,,,,76.46,B,,,0,0.0,0.0,927.97,-3200.51,-344.9,False,B,994.0,,,,,,,,,0,,,,,0.0,3,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
103405.0,S01018100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRA PRADESH,Balance,no,5778.7816,,,1167.2727,4697.2302,909.09,550.464,618.1812,,,,440.909,156.3636,,,132.4111,1213.224,,1893.3581,,1633.284,3472.7238,,,,,,22663.2933,2518.1437,18.22,9,South India,,,,,,,,,,,,58.96,C,,,0,0.0,0.0,5429.48,2911.34,53.6,True,C+,130.0,,,,,,,,,0,,,,,0.0,2,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
118976.0,2733922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTTAR PRADESH,Varanasi,no,,,,,,,,,,,,,,,,,,,,,334.8225,,,,,,,334.8225,334.8225,1.0,1,UTTAR PRADESH,,,,,,,,,,,,4.35,D,,,0,0.0,0.0,355.93,21.11,5.9,True,D+,1401.0,,,,,,,,,0,,,,,0.0,1,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
117812.0,2858042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUNJAB,Balance,no,290.9088,,,,1854.5436,,572.733,,,,,,,,,,1945.4526,654.5448,,,572.733,3272.724,,,,,,9163.6398,3054.5466,10.67,3,North India,,,,,,,,,,,,66.5,B,,,0,0.0,0.0,3158.81,104.26,3.3,True,B+,714.0,,,,,,,,,0,,,,,0.0,3,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
119476.0,2344714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAHARASHTRA,Balance,no,2545.452,,,,545.454,,,,,,,,,,,,545.454,,2172.7251,,,3127.2696,,,,,,8936.3547,1787.27094,6.2,5,MAHARASHTRA,,,,,,,,,,,,44.8,C,,,0,0.0,0.0,1917.38,130.11,6.8,True,C+,1238.0,,,,,,,,,0,,,,,0.0,2,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
119787.0,2846989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORISSA,Balance,no,,,,,1181.817,,1532.292,,,,109.092,,,,,,,327.2724,,,1840.9275,11999.988,,,,,,16991.3889,5663.7963,11.0,3,East India,,,,,,,,,,,,84.92,A,,,0,0.0,0.0,3253.19,-2410.6,-74.1,False,A,565.0,,,,,,,,,0,,,,,0.0,4,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
113966.0,S00869775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANDHRA PRADESH,Tirupati,no,,,272.727,,1090.908,90.909,385.3248,,,,,,,,,,,,,,380.7376,2309.0886,,,,,,4529.695,1132.42375,11.75,4,South India,,,,,,,,,,,,26.76,D,,,0,0.0,0.0,3486.25,2353.82,67.5,True,D+,156.0,,,,,,,,,0,,,,,0.0,1,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
120643.0,2540756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAMIL NADU,Balance,no,218.1816,,,,499.9995,,1925.9985,,,,,,,,,,90.909,,,,1369.905,1554.5439,,,,,,5659.5375,707.442188,6.63,8,South India,,,,,,,,,,,,13.88,D,,,0,0.0,0.0,2095.99,1388.55,66.2,True,D+,585.0,,,,,,,,,0,,,,,0.0,1,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
120722.0,S01279235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAJASTHAN,Ajmer,no,,,,,1181.817,90.909,1032.12,,,,275.232,,,,,,,327.2724,,,977.0736,1909.089,,,,,,5793.513,1931.171,13.0,3,North India,,,,,,,,,,,,48.34,C,,,0,0.0,0.0,3825.23,1894.06,49.5,True,C+,454.0,,,,,,,,,0,,,,,0.0,2,1,Deep Rural Affordability GT,"This is the largest cluster, comprising nascent, low-revenue rural kiranas focused purely on affordability. Shoppers are highly price-sensitive, seeking basic daily needs and impulse items, primarily in entry-level price points (Rs. 5/10).","Focus on ensuring 100% numeric distribution of core hero SKUs and entry-level Rs. 5/10 price-pack formats. Implement simple, high-visibility POSM for affordability messaging."
