DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
121112.0,1420959,Mysore,1420959,Mallikarjuna Pro Store,Retail,12.319101,76.627274,Karnataka,Mysore,Mysore,Mysore,Urban,Jayalakshmipuram,Grocry Dept Str (Stand-alone),Shivamurga Distributors,3.56,0.12,0.18,12.61,0.25,0.26,2.0,0.75,0.14,0.14,0.14,0.14,0.14,0.14,12,43,124,22.0,65.0,154.0,115.0,112.0,132.0,215.0,351.0,440.0,495.0,455.0,419.0,81.0,61.0,47.0,499.0,787.0,1288.0,Medium (30 to 100),52.0,45.0,13.0,4.0,111926.0,Yes,Yes,Yes,Yes,Yes,Yes,No,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.66555,Yes,500.0,300–600 sqft,Core Outlet,KARNATAKA,Mysuru,yes,690.9084,,,,1836.3618,90.909,1220.529,,,,,,,,,,109.0908,,,,1125.699,3709.0872,,,,,,8782.5852,975.8428,8.22,9,West India,Retail,119.66666666666669,283.0,467.5,437.0,63.0,0.14,0.12,0.26,0.14,34.0,21.98,D,,1.0,1,1.0,1.0,3341.83,2365.98,70.8,True,D+,149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,,,,,1.0,1,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
120653.0,2511625,Delhi,2511625,Kishan Mart 1,Retail,28.585017,77.191571,Delhi,Delhi,Delhi,Delhi,Urban,Chanakyapuri,Grocry Dept Str (Stand-alone),Nirman Retail Holdings,8.21,0.4,0.79,1.83,0.98,0.24,0.55,0.11,0.03,0.11,0.11,0.11,0.11,0.11,3,34,83,2.0,11.0,29.0,1676.0,1028.0,1196.0,2189.0,1872.0,2684.0,2676.0,2426.0,2152.0,502.0,399.0,568.0,2898.0,5393.0,7627.0,High (>100),27.0,104.0,94.0,31.0,370820.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,10.61069,Yes,485.0,300–600 sqft,Core Outlet,NEW DELHI,Gurugram,yes,11854.5336,,,,1018.1808,,,,,,,,3752.7264,1327.2714,14127.2734,6734.5424,3109.0878,327.2724,47067.2467,925.925,,881.8173,2377.777,,,,,93503.6542,7791.971183,13.67,12,North India,Retail,1300.0,2030.5,2680.0,2289.0,489.6666666666667,0.11,0.4,0.24,0.03,5.0,90.52,A,150.0,1.0,1,1.0,1.0,4983.13,-2808.84,-56.4,False,A,604.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,4,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
116371.0,2471935,,2471935,Jai Mart,Retail,24.28021,74.991011,Madhya Pradesh,Mandsaur,Malhargarh,Malhargarh,Urban,Malhargarh,Grocry Dept Str (Stand-alone),Shree Radhe Traders,18.36,0.07,101.15,193.93,6.84,188.25,2.33,144.75,22.36,141.98,141.98,141.98,141.98,141.93,10,11,13,0.0,0.0,0.0,3.0,7.0,51.0,36.0,202.0,344.0,227.0,282.0,205.0,91.0,126.0,63.0,207.0,398.0,1040.0,High (>100),0.0,0.0,0.0,0.0,126941.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,750.0,600–1000 sqft,Large Outlet,MADHYA PRADESH,Balance,yes,3454.542,,,,1758.8922,181.818,266.178,,,,,,,1454.544,,,3763.6326,1231.62,,,344.2008,3390.5118,,,,,,15845.9394,1440.539945,6.91,11,MADHYA PRADESH,Retail,20.33333333333333,119.0,285.5,243.5,93.33333333333331,141.93,0.07,2.33,22.36,10.0,36.04,C,150.0,1.0,1,1.0,0.0,3774.82,2334.28,61.8,True,C+,286.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,2,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
119860.0,S01274039,Dhanbad,S01274039,A One Super,Retail,23.665619,86.147485,Jharkhand,Bokaro,Chas,Bokaro Steel City,Urban,Bokaro Steel City,Grocry Dept Str (Stand-alone),Sai Ram Enterprises - Tt,2.78,0.33,21.79,57.24,0.4,0.0,6.34,0.14,0.14,0.14,0.14,0.14,0.14,0.14,14,26,64,0.0,0.0,0.0,1281.0,2300.0,5720.0,4978.0,10229.0,15000.0,8492.0,10887.0,10073.0,4341.0,6115.0,3057.0,10471.0,20031.0,50714.0,High (>100),0.0,0.0,0.0,0.0,98250.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,775.0,600–1000 sqft,Large Outlet,JHARKHAND,Balance,yes,10489.3182,,,,5795.6483,272.727,100.9184,436.3632,,,,,234.5454,2290.9068,,,8685.3672,1286.1654,,,45.872,6994.4628,,,,,,36632.2947,3052.691225,20.5,12,East India,Retail,3100.333333333333,7603.5,11746.0,10480.0,4504.333333333333,0.14,0.33,0.0,0.14,14.0,66.48,B,150.0,1.0,1,1.0,0.0,7533.36,4480.67,59.5,True,B+,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,3,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
120856.0,2596922,,2596922,Govind Super Market,Retail,17.767579,74.113535,Maharashtra,Satara,Koregaon,Bhaktawadi,Rural,,Grocry Dept Str (Stand-alone),S.N.Enterprises,10.17,1.46,10.18,41.3,7.43,14.58,4.3,79.82,12.13,12.13,12.13,12.13,12.13,12.13,4,7,12,0.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,42.0,68.0,54.0,104.0,32.0,30.0,12.0,47.0,96.0,161.0,Low (<30),0.0,0.0,0.0,0.0,67913.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,825.0,600–1000 sqft,Large Outlet,MAHARASHTRA,Balance,yes,163.6362,,,,2264.821,272.727,,,136.3635,,,,,,,,54.5454,,3541.8939,,454.55,5581.0248,,,,,,12469.5618,1385.506867,8.33,9,MAHARASHTRA,Retail,2.333333333333333,3.0,55.0,79.0,24.666666666666668,12.13,1.46,4.3,12.13,4.0,34.56,C,15.0,1.0,1,1.0,0.0,4419.36,3033.86,68.6,True,C+,115.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,0.0,2,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
119256.0,2298995,Nagpur,2298995,Sai Provision Stores Varchi Kherdi,Retail,21.112785,79.132646,Maharashtra,Nagpur,Nagpur (Urban),Nagpur,Urban,Digori,Grocry Dept Str (Stand-alone),Soham Corporation,2.87,0.19,0.32,7.06,0.54,466.18,4.19,5.67,0.09,0.09,0.09,0.09,0.09,0.09,23,76,155,5.0,11.0,60.0,43.0,110.0,339.0,324.0,831.0,1269.0,731.0,946.0,931.0,374.0,402.0,201.0,1354.0,2818.0,3446.0,High (>100),98.0,113.0,15.0,2.0,199099.0,Yes,Yes,Yes,No,Yes,Yes,No,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,0.8205,Yes,240.0,200–300 sqft,Small Outlet,MAHARASHTRA,Balance,yes,1930.1742,,640.7115,,3890.5113,1303.952,,163.6362,,,,,,,,,2327.2704,105.1388,,,231.8205,8792.8854,,,,,,19386.1003,1762.372755,15.45,11,MAHARASHTRA,Retail,164.0,577.5,1000.0,938.5,325.6666666666667,0.09,0.19,4.19,0.09,28.0,44.32,C,150.0,1.0,1,1.0,1.0,4756.71,2994.34,62.9,True,C+,119.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2.0,,,,1.0,2,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
120675.0,1524037,Guntur,1524037,Sai Lashmi Dept Stores,Retail,16.301597,80.420755,Andhra Pradesh,Guntur,Guntur,Guntur,Urban,Nagarampalem,Grocry Dept Str (Stand-alone),Pranavi Associates,1.19,0.22,0.42,1.21,0.59,0.0,2.38,1.33,0.11,0.32,0.11,0.11,0.11,0.11,29,98,185,2.0,91.0,126.0,131.0,164.0,181.0,327.0,366.0,530.0,588.0,764.0,625.0,96.0,113.0,172.0,775.0,1453.0,1078.0,Medium (30 to 100),99.0,70.0,12.0,7.0,151585.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,1.9,Yes,500.0,300–600 sqft,Core Outlet,ANDHRA PRADESH,Guntur,yes,,,,,,,4728.486,,,,,,,,,,,,,,3271.1325,,,,,,,7999.6185,999.952313,8.75,8,South India,Retail,158.66666666666666,346.5,559.0,694.5,127.0,0.11,0.22,0.0,0.11,31.0,22.86,D,,1.0,1,1.0,1.0,3356.48,2356.53,70.2,True,D+,154.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,1,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
120792.0,1927752,Surat,1927752,Ishwar Krupa Super Mart 4058,Retail,21.138099,72.82639,Gujarat,Surat,Surat City,Surat,Urban,Bamroli,Grocry Dept Str (Stand-alone),Sunrise Efficient Marketing Ltd.,5.17,0.5,1.93,5.6,8.73,52.86,4.16,2.93,0.76,0.76,0.76,0.76,0.76,0.76,13,60,119,0.0,3.0,11.0,14.0,44.0,33.0,65.0,253.0,249.0,356.0,714.0,495.0,251.0,268.0,929.0,686.0,815.0,1251.0,Medium (30 to 100),,,,,123150.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,4.2,Yes,175.0,<200 sqft,Micro Outlet,GUJARAT,Surat,yes,436.3632,,,,1145.4534,,,,,,,,,54.5454,,,,,,,140.9105,672.7266,,,,,,2449.9991,408.333183,5.86,6,GUJARAT,Retail,30.33333333333333,159.0,302.5,604.5,482.6666666666667,0.76,0.5,4.16,0.76,13.0,5.92,D,,1.0,1,1.0,1.0,1854.71,1446.38,78.0,True,D+,547.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,,,,1.0,1,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
114773.0,2790614,Bengaluru,2790614,AMAR DEPARTMENTAL STORE,Retail,12.987961,77.60838,Karnataka,Bengaluru Urban,Bengaluru,Bengaluru,Urban,Shivaji Nagar,Grocry Dept Str (Stand-alone),Kishore Marketing,2.87,0.17,0.56,0.73,0.25,0.41,1.33,0.45,0.08,0.08,0.08,0.08,0.08,0.08,44,94,205,12.0,44.0,102.0,224.0,304.0,338.0,697.0,855.0,1342.0,1539.0,1682.0,1635.0,355.0,200.0,123.0,1309.0,2326.0,4819.0,Medium (30 to 100),0.0,0.0,0.0,0.0,343542.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,Urban,3.4,Yes,455.0,300–600 sqft,Core Outlet,KARNATAKA,Bengaluru,yes,,,,,1727.271,,109.092,,,,,,,,,,,,,,137.616,6981.8112,,,,,,8955.7902,2238.94755,7.25,4,West India,Retail,288.6666666666667,776.0,1440.5,1658.5,226.0,0.08,0.17,0.41,0.08,56.0,54.5,C,,1.0,1,1.0,1.0,2644.47,405.52,15.3,True,C+,1150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,1.0,2,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
112197.0,2558416,,2558416,Rmb Madeena Super Market,Retail,12.815467,75.062392,Karnataka,Dakshina Kannada,Bantval,Bolanthuru,Rural,,Grocry Dept Str (Stand-alone),Mas Enterprises,16.69,0.58,7.48,24.96,8.18,6.57,3.39,21.74,2.42,3.81,2.42,2.42,2.42,2.42,1,5,15,0.0,0.0,0.0,8.0,15.0,23.0,28.0,5.0,76.0,119.0,141.0,206.0,86.0,69.0,25.0,86.0,142.0,514.0,Low (<30),110.0,3.0,0.0,0.0,264858.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,>Rs. 20,>Rs. 20,>Rs. 20,>Rs. 20,MT,,,Yes,330.0,300–600 sqft,Core Outlet,KARNATAKA,Balance,yes,27022.8984,,,,9.0909,,2161.3545,3363.633,136.3635,,,,,181.818,,,9909.081,,5284.346,,627.279,2644.2702,,,,,,51340.1345,4278.344542,20.5,12,West India,Retail,15.333333333333334,16.5,97.5,173.5,60.0,2.42,0.58,3.39,2.42,1.0,77.82,B,15.0,1.0,1,1.0,0.0,6750.09,2471.74,36.6,True,B+,206.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,0.0,3,2,Urban Premium Modern Trade,"These are larger, established Modern Trade grocery department stores in urban areas, characterized by 100% cooler availability and exclusive sales of premium categories. Shoppers engage in planned, higher-value purchases for household stock-up and indulgence.","Ensure planogram compliance for premium SKUs, focusing on full range availability and secondary displays for new product launches. Implement targeted promotions for multi-pack and larger formats."
