DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
107610.0,S00865549,,S00865549,Happy Karyana Store,Retail,31.380664,75.381657,Punjab,Kapurthala,Kapurthala,Kapurthala,Urban,Shiv Colony,Kirana Str,Shiva Traders,5.42,0.27,0.41,0.73,0.98,48.8,1.59,16.3,0.47,15.62,15.62,15.62,0.47,0.47,15,35,48,3.0,3.0,3.0,76.0,64.0,79.0,118.0,121.0,208.0,233.0,202.0,218.0,20.0,20.0,5.0,179.0,349.0,652.0,Medium (30 to 100),0.0,0.0,0.0,0.0,179674.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,Yes,110.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,22135.9473,,,,6081.8121,559.6838,1060.088,818.181,,,,,,4272.723,,,10542.2826,609.0903,,,809.0154,16318.9611,,,,,,63207.7846,5267.315383,25.58,12,North India,Retail,73.0,119.5,220.5,210.0,15.0,0.47,0.27,1.59,0.47,18.0,83.26,A,,1.0,1,0.0,0.0,7439.37,2172.06,29.2,True,A+,82.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,4,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
116667.0,2205631,,2205631,Mahadev Das,Retail,22.245707,87.789163,West Bengal,Purba Medinipur,Moyna,Goasafat,Urban,Goasafat,Kirana Str,Sarada Agency - Rd,1.36,1.12,0.77,60.25,1.33,56.42,11.82,27.2,0.06,6.17,6.17,6.17,6.17,6.17,6,21,49,0.0,1.0,1.0,1.0,6.0,26.0,36.0,122.0,193.0,129.0,168.0,165.0,83.0,325.0,163.0,288.0,382.0,742.0,Medium (30 to 100),0.0,0.0,0.0,0.0,66747.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,No,100.0,<200 sqft,Micro Outlet,WEST BENGAL,Balance,yes,509.0904,,,,435.5728,,1559.148,,,,68.1825,,,,,,272.727,,,,944.7695,763.6356,,,,,,4553.1258,379.42715,7.0,12,East India,Retail,11.0,79.0,161.0,166.5,190.3333333333333,6.17,0.77,11.82,0.06,6.0,5.38,D,,0.0,1,0.0,0.0,1871.7,1492.28,79.7,True,D+,502.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,1,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
122032.0,2483836,,2483836,Priyal Communication Dhruti Std,Retail,20.601784,72.925117,Gujarat,Valsad,Valsad,Nanakwada,Urban,Nanakwada (CT) - Ward No.1,Kirana Str,Roshani Enterprise,0.99,0.34,3.18,26.95,1.62,8.85,1.08,21.14,2.33,3.5,3.5,3.5,3.5,3.5,12,31,47,0.0,0.0,1.0,75.0,129.0,219.0,235.0,331.0,454.0,247.0,306.0,222.0,86.0,68.0,34.0,511.0,966.0,952.0,Medium (30 to 100),,,,,153361.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,Yes,125.0,<200 sqft,Micro Outlet,GUJARAT,Balance,yes,,,672.7266,,11581.8066,,,,,,,,,,,,,909.09,,,,2709.0882,,,,,,15872.7114,1984.088925,6.63,8,GUJARAT,Retail,141.0,283.0,350.5,264.0,62.66666666666666,3.5,0.34,1.08,2.33,12.0,49.42,C,,1.0,1,0.0,0.0,2016.87,32.79,1.6,True,C+,1274.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,2,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
121639.0,2255878,Kolkata,2255878,Taj Mohammad,Retail,22.912963,88.388048,West Bengal,Hugli,Hugli-Chinsurah +OG (Hugli distt) Pt 1 of 2,Hugli-Chinsurah,Urban,Olaichanditala,Kirana Str,Excel Services,2.17,0.33,0.97,24.49,0.68,8.16,1.25,8.13,1.41,6.09,6.09,6.09,6.09,6.09,11,34,95,0.0,7.0,12.0,125.0,168.0,170.0,282.0,302.0,418.0,516.0,597.0,549.0,135.0,148.0,56.0,991.0,972.0,904.0,Medium (30 to 100),0.0,0.0,0.0,0.0,124518.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,31.4,Yes,105.0,<200 sqft,Micro Outlet,WEST BENGAL,Balance,yes,,,,,790.9083,363.636,3418.5484,,,,,,,,,,,304.3482,,,2738.8922,1272.726,,,,,,8889.0591,740.754925,8.25,12,East India,Retail,154.33333333333334,292.0,467.0,573.0,113.0,6.09,0.33,1.25,1.41,11.0,14.86,D,,1.0,1,0.0,0.0,2507.47,1766.72,70.5,True,D+,329.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,1,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
119015.0,2648714,,2648714,Gungun Store,Retail,27.44654,94.229502,Assam,Lakhimpur,Kadam,Ananda Bagan,Rural,,Kirana Str,Global Network - Rd,28.94,9.7,24.06,279.14,8.44,33.11,9.08,26.01,25.03,25.03,25.03,25.03,25.03,25.03,5,13,22,0.0,0.0,0.0,7.0,7.0,6.0,44.0,25.0,44.0,61.0,67.0,93.0,132.0,97.0,41.0,95.0,127.0,322.0,Low (<30),0.0,0.0,0.0,0.0,43774.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,No,90.0,<200 sqft,Micro Outlet,ASSAM,Balance,yes,490.1181,,,,1209.0897,,701.587,,,,518.187,,,436.3632,,,126.4821,886.1658,,,663.246,1935.9678,,,,,,6967.2067,774.134078,8.56,9,Northeast India,Retail,6.666666666666667,34.5,52.5,80.0,90.0,25.03,9.7,9.08,25.03,5.0,15.9,D,15.0,0.0,1,0.0,0.0,2589.9,1815.77,70.1,True,D+,314.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,0.0,1,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
110722.0,S00925401,,S00925401,Guru Veerabhadra Bunk,Retail,15.475678,78.493785,Andhra Pradesh,Kurnool,Nandyal,Nandyal,Urban,Nandyal,Kirana Str,Sri Leela Enterprises,1.38,0.3,2.16,116.19,0.54,0.0,2.6,195.37,0.73,194.45,194.45,194.45,194.45,194.45,14,66,97,0.0,1.0,1.0,146.0,475.0,1796.0,1783.0,5572.0,8701.0,6636.0,8331.0,6295.0,2682.0,3152.0,1576.0,7866.0,16044.0,21462.0,High (>100),0.0,0.0,0.0,0.0,118021.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,,,No,90.0,<200 sqft,Micro Outlet,ANDHRA PRADESH,Balance,yes,3290.9058,,,,890.9082,181.818,1032.12,,,,,,,,,,1927.2708,,,,481.656,1636.362,,,,,,9441.0408,1049.004533,9.0,9,South India,SC05-Retail,805.6666666666666,3677.5,7668.5,7313.0,2470.0,194.45,0.3,0.0,0.73,14.0,24.4,D,150.0,0.0,1,0.0,0.0,2316.08,1267.07,54.7,True,D+,671.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,1,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
112735.0,S01367511,Kolkata,S01367511,Chakraborty Verity Stores,Retail,22.481607,88.323,West Bengal,Kolkata,Kolkata,Kolkata,Urban,Haridebpur,Kirana Str,Shree Sai Traders,2.11,0.17,1.2,3.07,0.95,0.16,2.36,2.31,0.16,0.16,0.16,0.16,0.16,0.16,10,54,135,1.0,8.0,13.0,161.0,174.0,163.0,395.0,337.0,393.0,463.0,510.0,423.0,195.0,144.0,43.0,1080.0,864.0,883.0,High (>100),0.0,0.0,0.0,0.0,304564.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Urban,1.1,Yes,55.0,<200 sqft,Micro Outlet,WEST BENGAL,Kolkata,yes,,,,,18.1818,,50.4592,,,,,,,,,,,,,,9.1744,99.6047,,,,,,177.4201,22.177513,2.38,8,East India,Retail,166.0,366.0,428.0,466.5,127.33333333333331,0.16,0.17,0.16,0.16,11.0,0.16,D,150.0,1.0,1,0.0,1.0,635.4,613.23,96.5,True,D+,1108.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,1,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
119625.0,2515151,Jaipur,2515151,Khushbu Kirana Store,Retail,26.956964,75.678438,Rajasthan,Jaipur,Jaipur,Hathod,Rural,,Kirana Str,Shree Kalyan Traders,4.52,6.86,4.18,8.38,1.21,85.14,3.93,6.45,3.13,3.13,3.13,3.13,3.13,3.13,18,35,57,0.0,0.0,0.0,35.0,38.0,41.0,54.0,8.0,154.0,245.0,190.0,367.0,103.0,64.0,22.0,95.0,275.0,871.0,Low (<30),281.0,143.0,24.0,4.0,163330.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Periphery,2.5,No,105.0,<200 sqft,Micro Outlet,RAJASTHAN,Balance,yes,3018.1788,,,,6299.9937,272.727,3985.86,599.9994,,,1098.426,,,1109.0898,,,2181.816,2036.3616,,,4327.8984,8163.6282,,,,,,33093.9789,2757.831575,11.75,12,North India,Retail,38.0,31.0,199.5,278.5,63.0,3.13,4.18,3.93,3.13,18.0,62.54,B,15.0,0.0,1,0.0,0.0,3322.39,564.56,17.0,True,B+,597.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,0.0,3,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
102350.0,S01261637,Bareilly,S01261637,Pathak Pan Bhandar,Retail,28.330427,79.396769,Uttar Pradesh,Bareilly,Bareilly,Bareilly,Urban,,Cig / Paan Kiosk,Gargi Enterprises-Bareilly-Sdp,5.87,0.31,2.27,2.97,0.32,1.62,1.57,1.87,0.34,0.34,0.34,0.34,0.34,0.34,20,48,103,0.0,0.0,8.0,19.0,25.0,29.0,60.0,85.0,123.0,92.0,172.0,153.0,59.0,63.0,56.0,94.0,181.0,580.0,High (>100),61.0,56.0,3.0,0.0,79293.0,Yes,Yes,No,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,,GT,Periphery,0.0,No,40.0,<200 sqft,Micro Outlet,UTTAR PRADESH,Bareilly,yes,1701.1842,,,,16222.1228,1909.089,15159.8457,,,,11879.1576,,,1232.4099,,,723.3195,15752.9541,,,10787.4639,27934.3714,,,,,,103301.9181,8608.493175,24.0,12,UTTAR PRADESH,Retail,24.33333333333333,72.5,107.5,162.5,59.333333333333336,0.34,0.31,1.57,0.34,20.0,92.16,A,150.0,0.0,1,0.0,0.0,6501.14,-2107.35,-32.4,False,A,543.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,4,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
101812.0,S01001842,Bikaner,S01001842,Ashok Kirana Store,Retail,28.029547,73.317641,Rajasthan,Bikaner,Bikaner,Bikaner,Urban,Mehron Ka Bas,Kirana Str,Jai Marketing,27.67,118.37,0.29,196.14,0.27,162.98,1.58,0.42,0.11,0.11,0.11,0.11,0.11,0.11,29,107,223,9.0,17.0,49.0,111.0,127.0,155.0,208.0,266.0,416.0,434.0,555.0,512.0,108.0,118.0,75.0,272.0,657.0,1859.0,Medium (30 to 100),99.0,35.0,2.0,0.0,3086780.0,Yes,Yes,Yes,No,No,No,No,Rs. 5,Rs. 5,Rs. 5,Rs. 10,GT,Urban,1.5,Yes,110.0,<200 sqft,Micro Outlet,RAJASTHAN,Bikaner,yes,10309.0806,,,,6415.4129,905.138,,2290.9068,490.9086,,,,,3509.0874,,163.6362,9509.0814,1909.089,790.9083,,,6658.4934,,,,,,42951.7426,3904.703873,27.27,11,North India,Retail,131.0,237.0,425.0,533.5,100.33333333333331,0.11,0.29,1.58,0.11,38.0,74.92,B,,1.0,1,0.0,1.0,7801.39,3896.68,49.9,True,B+,47.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,5.0,1.0,3,3,Urban Kirana Everyday Essentials,"This is a significant cluster of small urban kiranas, primarily serving everyday immediate consumption needs. While footfall is high, VPO is moderate, and premium sales are low, indicating a focus on core, affordable products.","Improve cooler penetration from 52% to 70% in high-potential outlets to drive chilled beverage sales. Implement a 'Must-Stock List' for core, high-turnover SKUs to maximize availability."
