DIST_CD,OUTLET_UID_EDITED,pepsi_top_city_name,outlet_code,outlet_name,channel,latitude,longitude,state,district,taluk,city_village,sector,nbrhd,sub_channel_name,nearest_pepsi_distributor_name,nearest_pepsi_distributer_distance_in_km,distance_to_nearest_school_in_km,distance_to_nearest_college_in_km,distance_to_nearest_large_office_in_km,distance_to_nearest_liqour_str_in_km,distance_to_nearest_bus_stn_in_km,distance_to_nearest_train_stn_in_km,distance_to_nearest_malls,distance_to_nearest_theatres,distance_to_nearest_temple,distance_to_nearest_church,distance_to_nearest_mosque,distance_to_nearest_gurdwara,distance_to_nearest_jain_temple,no_of_schools_in_a_1_km_radius,no_of_schools_in_a_2_km_radius,no_of_schools_in_a_3_km_radius,no_of_colleges_in_a_1_km_radius,no_of_colleges_in_a_2_km_radius,no_of_colleges_in_a_3_km_radius,sec_a1_hhs,sec_a2_hhs,sec_a3_hhs,sec_b1_hhs,sec_b2_hhs,sec_c1_hhs,sec_c2_hhs,sec_d1_hhs,sec_d2_hhs,sec_e1_hhs,sec_e2_hhs,sec_e3_hhs,3_member_hhs,4_member_hhs,5+_member_hhs,estmtd_daily_footfall_tag,no_of_single_floor_bldgs,no_of_two_floor_bldgs,no_of_three_four_floors_bldgs,no_of_abv_five_floors_bldgs,nbrhd_per_capita_income,chocolates_avlblty,biscuits_avlblty,noodles_avlblty,protein_bars_avlblty,oats_avlblty,premium_category_sold,premium_snacks_sold,western_salty_lead_pack,chocolates_lead_pack,biscuits_lead_pack,noodles_lead_pack,store_format,urban_vs_periphery_tagging,distnc_from_city_boundary_km,cooler_available,store_size,store_size_bracket,store size tagging,DB State,Top City,BI,LAYS LARGE 20,DORITOS SMALL 5,CHEETOS MEDIUM 10,QUAKER >L >273,KURKURE MEDIUM 10,DORITOS MEDIUM 10,LAYS SMALL 5,DORITOS LARGE 20,KURKURE >L >30,PROMO>L >30,UNCLE CHIPPS SMALL 5,QUAKER SMALL <99,QUAKER MEDIUM 79-460,UNCLE CHIPPS LARGE 20,QUAKER LARGE 189-380,DORITOS >L >30,KURKURE LARGE 20,UNCLE CHIPPS MEDIUM 10,LAYS >L >30,CHEETOS >L >30,KURKURE SMALL 5,LAYS MEDIUM 10,UNCLE CHIPPS >L >30,KKNMK >L >30,CHEETOS SMALL 5,KKNMK SMALL 5,KKNMK MEDIUM 10,TOTAL_REVENUE,VPO,AVG_SKU,ACTIVE_MONTHS,COHORT,SUB_CHANNEL,sec_a_hhs,sec_b_hhs,sec_c_hhs,sec_d_hhs,sec_e_hhs,distance_to_nearest_religious_place,distance_to_nearest_educational_institute_in_km,distance_to_nearest_transport_stn_in_km,distance_to_nearest_commercial_place,no_of_educational_institute_in_a_1_km_radius,vpo_percentile,priority_bucket,estmtd_daily_footfall_numeric,cooler_available_bin,BI_bin,is_modern_trade,is_urban,predicted_potential_vpo,opportunity_gap,gap_pct_of_potential,has_upside,priority,gap_rank_within_bucket,cooler_available_num,chocolates_avlblty_num,biscuits_avlblty_num,noodles_avlblty_num,protein_bars_avlblty_num,oats_avlblty_num,premium_category_sold_num,premium_snacks_sold_num,BI_num,store_size_bracket_num,western_salty_lead_pack_num,chocolates_lead_pack_num,biscuits_lead_pack_num,is_urban_sector,priority_bucket_num,cluster,segment_label,segment_description,segment_action
121370.0,2325456,Delhi,2325456,Krishna Dairy,Retail,28.669749,77.176148,Delhi,Delhi,Delhi,Delhi,Urban,Inder Lok Colony,Dairy Str (Stand-alone),Super Agencies,1.79,0.21,0.21,2.72,0.58,0.12,0.51,0.73,0.2,0.2,0.2,0.2,0.2,0.2,15,73,194,1.0,2.0,22.0,1010.0,572.0,655.0,1062.0,1082.0,1485.0,1590.0,1928.0,1684.0,323.0,238.0,794.0,1449.0,2580.0,6671.0,High (>100),13.0,165.0,1782.0,568.0,254251.0,No,No,No,No,No,No,No,Rs. 5,,,,GT,Urban,10.90577,Yes,125.0,<200 sqft,Micro Outlet,NEW DELHI,Delhi,yes,109.0908,,,,8909.082,,1808.0415,,,,482.1444,,,54.5454,,,54.5454,1018.1808,,,910.7172,12190.8969,,,,,,25537.2444,2837.4716,10.44,9,North India,Retail,745.6666666666666,1072.0,1537.5,1806.0,451.6666666666667,0.2,0.21,0.12,0.2,16.0,63.68,B,150.0,1.0,1,0.0,1.0,3087.1,249.63,8.1,True,B+,665.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,,,1.0,3,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
113249.0,2714451,Jaipur,2714451,Santosh Pan,Retail,26.92083429,75.79412,Rajasthan,Jaipur,Jaipur,Jaipur,Urban,Bani Park,Cig / Paan Kiosk,Balaji Enterprises,2.01,5.54,0.15,0.05,0.14,95.25,0.49,0.05,0.05,0.05,0.05,0.05,0.05,0.05,21,111,241,10.0,21.0,38.0,135.0,112.0,140.0,236.0,201.0,329.0,316.0,283.0,258.0,67.0,49.0,43.0,279.0,505.0,1137.0,Medium (30 to 100),62.0,51.0,25.0,12.0,4845634.0,Yes,No,No,No,No,No,No,Rs. 5,Rs. 5,,,GT,Urban,1.4,No,60.0,<200 sqft,Micro Outlet,RAJASTHAN,Jaipur,yes,,,,,4381.8138,,,,,,0.0,,,,,,0.0,109.0908,,,68.808,872.7264,,,,,,5432.439,776.062714,4.0,7,North India,Retail,129.0,218.5,322.5,270.5,53.0,0.05,0.15,0.49,0.05,31.0,16.04,D,,0.0,1,0.0,1.0,723.01,-53.05,-7.3,False,D,1421.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,,1.0,1,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
121733.0,1325639,Chandigarh,1325639,Anand Dairy,Retail,30.715993,76.837045,Chandigarh,Chandigarh,Chandigarh,Chandigarh,Urban,Mariwala Town,Dairy str,,,0.2,0.7,0.73,0.21,0.16,2.11,1.64,0.17,0.22,0.22,0.22,0.17,0.17,16,31,61,3.0,3.0,6.0,342.0,242.0,301.0,503.0,448.0,687.0,596.0,511.0,474.0,94.0,87.0,27.0,642.0,1250.0,1748.0,Medium (30 to 100),26.0,8.0,22.0,0.0,364197.0,No,No,No,No,No,No,No,,,,,GT,Urban,0.6,Yes,110.0,<200 sqft,Micro Outlet,PUNJAB,Balance,yes,11294.8506,54.546,836.3628,,17981.4089,927.2718,8360.517,309.0906,,,1167.7344,,,2145.4524,,,7886.9487,6286.1604,,,7162.5948,30289.6971,,,,,,94702.6355,7891.886292,33.92,12,North India,Retail,295.0,475.5,641.5,492.5,69.33333333333333,0.17,0.2,0.16,0.17,19.0,90.72,A,,1.0,1,0.0,1.0,9816.47,1924.58,19.6,True,A+,101.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,4,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
121795.0,2130575,Kolkata,2130575,Pandit Hotel,Retail,22.69022,88.464612,West Bengal,N. 24 Parganas,Madhyamgram unassignd,Madhyamgram,Urban,Madhyamgram,S. Ind Restaurnt,Abhishek Enterprise,3.2,0.24,0.35,7.73,0.53,10.11,1.33,1.61,1.61,1.61,1.61,1.61,1.61,1.61,19,42,94,0.0,4.0,11.0,358.0,779.0,2304.0,2043.0,4996.0,7467.0,6337.0,8265.0,7958.0,3211.0,3483.0,1742.0,16096.0,15809.0,17070.0,High (>100),0.0,0.0,0.0,0.0,168017.0,No,No,No,No,No,No,No,,,,,Restaurants,Periphery,9.9,Yes,140.0,<200 sqft,Micro Outlet,WEST BENGAL,Balance,yes,454.545,,,,1081.8171,181.818,690.6656,,,,177.9,,,36.3636,,,36.3636,227.2725,,,812.5184,1990.9071,,,,,,5690.1709,812.881557,13.14,7,East India,Retail,1147.0,3519.5,6902.0,8111.5,2812.0,1.61,0.24,1.33,1.61,19.0,17.04,D,150.0,1.0,1,0.0,0.0,3840.53,3027.65,78.8,True,D+,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,1,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
106367.0,S01241716,Rajkot,S01241716,Karuna Sagar Paan,Retail,22.27165,70.754691,Gujarat,Rajkot,Rajkot,Rajkot,Urban,,Cig / Paan Kiosk,Hetal Enterprise,6.23,0.41,0.32,3.27,1.71,8.03,4.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,10,46,97,2.0,17.0,34.0,67.0,54.0,69.0,88.0,100.0,158.0,153.0,133.0,131.0,45.0,31.0,4.0,212.0,329.0,372.0,Medium (30 to 100),,,,,178911.0,Yes,No,No,No,No,No,No,Rs. 5,Rs. 5,,,GT,Periphery,0.1,No,50.0,<200 sqft,Micro Outlet,GUJARAT,Rajkot,yes,,,,,12410.2654,,,,,,,,,,,,,,,,68.1825,545.454,,,,,,13023.9019,1085.325158,2.25,12,GUJARAT,Retail,63.333333333333336,94.0,155.5,132.0,26.666666666666668,0.03,0.32,4.1,0.03,12.0,25.28,D,,0.0,1,0.0,0.0,370.25,-715.08,-193.1,False,D,1494.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,,1.0,1,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
121792.0,1850227,Indore,1850227,Maa Pitambra Namkeen,Retail,22.759857,75.876967,Madhya Pradesh,Indore,Indore,Indore,Urban,Nyay Nagar,Chats & Snacks (Stand-alone),Krystal Impex,1.79,0.13,0.8,2.86,0.71,0.11,2.67,0.93,0.2,0.93,0.2,0.93,0.2,0.2,24,99,190,5.0,9.0,20.0,45.0,72.0,81.0,163.0,225.0,337.0,358.0,338.0,316.0,77.0,62.0,34.0,253.0,435.0,1203.0,Medium (30 to 100),153.0,0.0,0.0,0.0,182340.0,No,No,No,No,No,No,No,,,,,GT,Urban,1.8,Yes,130.0,<200 sqft,Micro Outlet,MADHYA PRADESH,Balance,yes,18079.0335,,1309.0896,,23643.4588,3255.7291,,2886.1632,245.4543,,110.0928,,,4304.3436,,,15984.9654,7226.8716,81.8181,,7629.0561,20667.5703,,,,,,105423.6464,8785.303867,35.67,12,MADHYA PRADESH,Retail,66.0,194.0,347.5,327.0,57.66666666666666,0.2,0.13,0.11,0.2,29.0,92.42,A,,1.0,1,0.0,1.0,10308.01,1522.7,14.8,True,A+,141.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,4,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
116923.0,1883920,Delhi,1883920,Gupta Coffee Shop,Retail,28.635185,77.234852,Delhi,Delhi,Delhi,Delhi,Urban,Minto Road,Tea Shop (Hot),Shivani Enterprises,4.03,0.13,0.26,0.76,0.7,0.61,0.78,0.97,0.14,0.83,0.2,0.2,0.14,0.14,21,69,138,15.0,38.0,44.0,645.0,384.0,431.0,826.0,734.0,1045.0,1132.0,1329.0,1115.0,208.0,149.0,527.0,1107.0,1858.0,4351.0,High (>100),0.0,0.0,0.0,0.0,264418.0,No,Yes,No,No,No,No,No,Rs. 5,,Rs. 5,,GT,Urban,7.98459,Yes,95.0,<200 sqft,Micro Outlet,NEW DELHI,Delhi,yes,27490.682,,109.0908,,4636.359,272.727,66.9645,2290.9068,,,,,,5127.2676,,,15726.4668,1381.8168,,,66.9645,6854.5386,,,,,,64023.7844,5335.315367,24.42,12,North India,OPSC21-AFH - Others,486.6666666666667,780.0,1088.5,1222.0,294.6666666666667,0.14,0.13,0.61,0.14,36.0,83.64,A,150.0,1.0,1,0.0,1.0,7029.51,1694.19,24.1,True,A+,124.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,,5.0,1.0,4,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
107771.0,2477543,Mumbai,2477543,Melody Pan Shop,Retail,19.175923,72.968632,Maharashtra,Mumbai (Combined),Mumbai,Mumbai (Grtr),Urban,Mulund E.,Cig / Paan Kiosk,Knb Enterprises,3.49,0.27,0.73,1.58,0.46,0.45,1.29,1.26,0.25,0.39,0.39,0.39,0.39,0.25,14,57,129,4.0,47.0,63.0,421.0,404.0,409.0,984.0,769.0,1030.0,1163.0,1107.0,979.0,225.0,112.0,99.0,1689.0,2282.0,2495.0,High (>100),105.0,49.0,66.0,104.0,439832.0,Yes,No,No,No,No,No,No,Rs. 5,Rs. 5,,,GT,Urban,0.2,No,45.0,<200 sqft,Micro Outlet,MAHARASHTRA,Thane,yes,,,1181.817,,1418.1804,90.909,,,,,,54.5455,,,,,,90.909,,,,163.6362,,,,,,2999.9971,333.333011,1.22,9,MAHARASHTRA,Retail,411.3333333333333,876.5,1096.5,1043.0,145.33333333333334,0.25,0.27,0.45,0.25,18.0,4.3,D,150.0,0.0,1,0.0,1.0,0.0,-333.33,,False,D,1465.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,,1.0,1,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
121350.0,2753150,Gurugram,2753150,Fuel 21,Retail,28.378861,77.042555,Haryana,Gurugram,Gurugram,Gurugram,Urban,Badshapur,,Biz Sharks Ventures Private Limited,4.08,1.29,3.38,5.28,0.44,0.0,1.82,1.09,1.09,1.09,1.09,1.09,1.09,1.09,0,10,18,0.0,0.0,0.0,13.0,9.0,10.0,21.0,18.0,24.0,22.0,25.0,22.0,8.0,7.0,37.0,46.0,53.0,59.0,Low (<30),30.0,5.0,3.0,14.0,716818.0,No,No,No,No,No,No,No,,,,,Others,Urban,0.6,No,110.0,<200 sqft,Micro Outlet,HARYANA,Gurugram,yes,9223.092,,,,90.909,,,,,,,,,90.909,,,4637.563,,,,,654.5448,,,,,,14697.0178,7348.5089,8.0,2,North India,Retail,10.666666666666666,19.5,23.0,23.5,17.333333333333332,1.09,1.29,0.0,1.09,0.0,89.62,A,15.0,0.0,1,0.0,1.0,2046.89,-5301.62,-259.0,False,A,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,1.0,4,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
120744.0,2441046,Visakhapatnam,2441046,Sri Durga Devi Pan Shop,Retail,17.728658,83.30496,Andhra Pradesh,Visakhapatnam,Visakhapatnam (Urban),Visakhapatnam,Urban,Dwarakanagar,Cig / Paan Kiosk,Sri Srinivasa Traders,1.52,0.03,0.04,0.03,0.28,0.0,1.72,0.28,0.1,0.1,0.1,0.1,0.1,0.1,39,112,180,100.0,178.0,199.0,296.0,308.0,351.0,762.0,744.0,1092.0,1015.0,855.0,681.0,151.0,103.0,163.0,1292.0,2433.0,1743.0,Medium (30 to 100),14.0,29.0,74.0,32.0,100116.0,Yes,No,No,No,No,No,No,Rs. 5,Rs. 5,,,GT,Urban,1.1,No,40.0,<200 sqft,Micro Outlet,ANDHRA PRADESH,Visakhapatnam,yes,,,,,2436.3612,,1926.624,,,,,,,,,,,,,,2201.856,3872.7234,,,,,,10437.5646,1491.080657,13.29,7,South India,SC05-Retail,318.3333333333333,753.0,1053.5,768.0,139.0,0.1,0.03,0.0,0.03,139.0,37.42,C,,0.0,1,0.0,1.0,3210.63,1719.55,53.6,True,C+,530.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,5.0,5.0,,1.0,2,4,Urban Transit Impulse GT,"This cluster consists of small urban GT outlets like paan kiosks, dairies, and tea shops, often near transit points. They cater to on-the-move shoppers seeking quick, affordable impulse purchases, with no premium category sales.","Prioritize counter-top displays and visible merchandising for single-serve, grab-and-go beverage and snack SKUs. Introduce combo offers (e.g., beverage + snack) at Rs. 20-30 price points."
